periode_data,wilayah,kecamatan,kelurahan,jenis_kelamin,jumlah_penduduk,rasio_jenis_kelamin,jumlah_kepadatan
2023,JAKARTA TIMUR,KRAMAT JATI,DUKUH,Perempuan,15992,100.04,18545.4
2023,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,Perempuan,31336,99.05,24580.29
2023,JAKARTA TIMUR,KRAMAT JATI,BALEKAMBANG,Perempuan,19208,100.12,22759.97
2023,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,Perempuan,25481,101.43,28997.92
2023,JAKARTA TIMUR,KRAMAT JATI,CAWANG,Perempuan,20199,101.32,21558.23
2023,JAKARTA TIMUR,PASAR REBO,GEDONG,Perempuan,22750,99.6,18525.32
2023,JAKARTA TIMUR,PASAR REBO,BARU,Perempuan,15161,103.43,14825.38
2023,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,Perempuan,26478,99.27,21883.51
2023,JAKARTA TIMUR,PASAR REBO,KALISARI,Perempuan,28141,100.44,22009.38
2023,JAKARTA TIMUR,PASAR REBO,PEKAYON,Perempuan,28084,101.62,19086.07
2023,JAKARTA TIMUR,CAKUNG,JATINEGARA,Perempuan,52930,104.0,16567.64
2023,JAKARTA TIMUR,CAKUNG,RAWA TERATE,Perempuan,14917,107.17,7503.6
2023,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,Laki-Laki,25755,99.86,14408.66
2023,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,Laki-Laki,35009,100.93,22108.43
2023,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,Laki-Laki,25696,99.01,14182.84
2023,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,Laki-Laki,38313,101.51,13649.09
2023,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,Laki-Laki,41096,99.73,16205.74
2023,JAKARTA SELATAN,PANCORAN,CIKOKO,Laki-Laki,6414,98.72,19356.25
2023,JAKARTA SELATAN,PANCORAN,PENGADEGAN,Laki-Laki,13457,98.55,27904.32
2023,JAKARTA SELATAN,PANCORAN,DUREN TIGA,Laki-Laki,17451,101.27,17340.57
2023,JAKARTA SELATAN,PANCORAN,RAWAJATI,Laki-Laki,13262,97.11,18223.18
2023,JAKARTA SELATAN,PANCORAN,KALIBATA,Laki-Laki,26559,99.34,22646.35
2023,JAKARTA SELATAN,PANCORAN,PANCORAN,Laki-Laki,12463,100.39,17777.65
2023,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,Laki-Laki,20930,100.12,24624.99
2023,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,Laki-Laki,24175,97.87,31112.14
2023,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,Laki-Laki,6835,98.26,16179.25
2023,JAKARTA SELATAN,KEBAYORAN BARU,PULO,Laki-Laki,3148,89.69,6039.09
2023,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,Laki-Laki,1549,93.48,2244.48
2023,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,Laki-Laki,3211,93.72,10192.22
2023,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,Laki-Laki,1535,92.3,2229.8
2023,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,Laki-Laki,8760,101.21,13929.04
2023,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,Laki-Laki,5518,98.15,7842.82
2023,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,Laki-Laki,1397,90.6,2293.45
2023,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,Laki-Laki,16174,96.71,13787.84
2023,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,Laki-Laki,13426,98.27,16941.02
2023,JAKARTA SELATAN,CILANDAK,PONDOK LABU,Laki-Laki,28951,97.44,16798.97
2023,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,Laki-Laki,23529,97.87,10882.64
2023,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,Laki-Laki,31164,97.95,10678.67
2023,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,Laki-Laki,25540,99.51,24588.38
2023,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,Laki-Laki,27796,101.4,19152.3
2023,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,Laki-Laki,26615,101.19,16023.8
2023,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,Laki-Laki,25063,99.12,29916.4
2023,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,Laki-Laki,34895,97.47,10412.77
2023,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,Laki-Laki,26892,100.96,23108.78
2023,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,Laki-Laki,29217,100.88,20907.55
2023,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,Laki-Laki,22990,98.58,15650.95
